Top of The Market Rating,Zacks (1-5),Wall Street Journal Rating (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
88.67,1,1,5,NSSC,"NAPCO Security Technologies, Inc.",20,Buy
88.59,1,1,6,DAL,"Delta Air Lines, Inc.",26.29,Buy
88.42,1,2,17,CHL,China Mobile (Hong Kong) Ltd.,28.67,Buy
88.23,1,1,6,SWM,"Schweitzer-Mauduit International, Inc.",24.48,Buy
88.03,1,1,5,SILC,Silicom Ltd,16.8,Buy
88.03,1,2,1,THO,"Thor Industries, Inc.",15.17,Buy
88,1,1,10,AKTS,"Akoustis Technologies, Inc.",122.84,Buy
88,1,1,10,VIVE,"Viveve Medical, Inc.",58.73,Buy
88,1,1,10,CVO,Cenveo Inc,54.37,Buy
88,1,1,10,OSTK,"Overstock.com, Inc.",54.32,Buy
87.88,1,1,6,CRY,"CryoLife, Inc.",22.72,Buy
87.75,1,1,17,LEXEB,"Liberty Expedia Holdings, Inc.",1.01,Buy
87.53,1,1,5,BWFG,"Bankwell Financial Group, Inc.",14.34,Buy
87.5,3,1,17,MARA,"Marathon Patent Group, Inc.",1434.33,Buy
87.5,3,1,17,BPTH,"Bio-Path Holdings, Inc.",755.26,Buy
87.5,3,1,17,ONS,"Oncobiologics, Inc.",607.14,Buy
87.5,3,1,17,PRKR,"ParkerVision, Inc.",577.97,Buy
87.5,3,1,17,HTBX,"Heat Biologics, Inc.",461.59,Buy
87.5,3,1,17,LENS,Presbia PLC,445.45,Buy
87.5,3,1,17,EARS,Auris Medical Holding AG,384.05,Buy
87.5,3,1,17,TRIL,Trillium Therapeutics Inc.,295.83,Buy
87.5,3,1,17,STAF,"Staffing 360 Solutions, Inc.",284.62,Buy
87.5,3,1,17,PBMD,Prima BioMed Ltd,263.13,Buy
87.5,3,1,17,TRVN,"Trevena, Inc.",262.98,Buy
87.5,3,1,17,NVCN,Neovasc Inc.,262.9,Buy
87.5,3,1,17,EVOK,"Evoke Pharma, Inc.",257.14,Buy
87.5,3,1,17,AVXL,Anavex Life Sciences Corp.,256.29,Buy
87.5,3,1,17,EIGR,"Eiger BioPharmaceuticals, Inc.",248.72,Buy
87.5,3,1,17,SNES,"SenesTech, Inc.",246.89,Buy
87.5,3,1,17,ALDX,"Aldeyra Therapeutics, Inc.",236.84,Buy
87.5,2,2,17,ALDR,"Alder BioPharmaceuticals, Inc.",226.09,Buy
87.5,3,1,17,OBSV,ObsEva SA,224.91,Buy
87.5,2,2,17,CASC,"Cascadian Therapeutics, Inc.",223.38,Buy
87.5,3,1,17,XBIO,"Xenetic Biosciences, Inc.",207.69,Buy
87.5,3,1,17,AXSM,"Axsome Therapeutics, Inc.",203.57,Buy
87.5,3,1,17,PSTI,"Pluristem Therapeutics, Inc.",191.67,Buy
87.5,3,1,17,JAGX,"Jaguar Animal Health, Inc.",181.69,Buy
87.5,3,1,17,CHEK,Check-Cap Ltd.,170.27,Buy
87.5,3,1,17,MARK,"Remark Holdings, Inc.",166.67,Buy
87.5,3,1,17,CNAT,Conatus Pharmaceuticals Inc.,164.9,Buy
87.5,3,1,17,OVID,Ovid Therapeutics Inc.,156.83,Buy
87.5,3,1,17,VBLT,Vascular Biogenics Ltd.,152.87,Buy
87.5,3,1,17,HTGM,"HTG Molecular Diagnostics, Inc.",142.62,Buy
87.5,3,1,17,ZYME,Zymeworks Inc.,139.6,Buy
87.5,3,1,17,NERV,"Minerva Neurosciences, Inc",135.67,Buy
87.5,3,1,17,ARDX,"Ardelyx, Inc.",132.14,Buy
87.5,3,1,17,GLMD,Galmed Pharmaceuticals Ltd.,131.69,Buy
87.5,3,1,17,TST,"TheStreet, Inc.",130.34,Buy
87.5,3,1,17,KMPH,"KemPharm, Inc.",128.57,Buy
87.5,3,1,17,ABUS,Arbutus Biopharma Corporation,123.68,Buy
87.5,3,1,17,JNCE,"Jounce Therapeutics, Inc.",123.55,Buy
87.5,3,1,17,VTGN,"VistaGen Therapeutics, Inc.",116.22,Buy
87.5,3,1,17,WVE,WAVE Life Sciences Ltd.,115.43,Buy
87.5,3,1,17,HSGX,Histogenics Corporation,105.23,Buy
87.5,3,1,17,GTHX,"G1 Therapeutics, Inc.",103.81,Buy
87.5,2,2,17,CRVS,"Corvus Pharmaceuticals, Inc.",99.51,Buy
87.5,3,1,17,TGLS,Tecnoglass Inc.,90.88,Buy
87.5,3,1,17,NH,"NantHealth, Inc.",90.48,Buy
87.5,3,1,17,CLRB,"Cellectar Biosciences, Inc.",90.2,Buy
87.5,3,1,17,EDGE,"Edge Therapeutics, Inc.",84.11,Buy
87.5,3,1,17,PRTK,"Paratek Pharmaceuticals, Inc. ",80.33,Buy
87.5,3,1,17,GBT,"Global Blood Therapeutics, Inc.",78.63,Buy
87.5,3,1,17,FCSC,Fibrocell Science Inc,77.42,Buy
87.5,3,1,17,CDTX,"Cidara Therapeutics, Inc.",75,Buy
87.5,3,1,17,AIMT,"Aimmune Therapeutics, Inc.",74.63,Buy
87.5,3,1,17,WAAS,AquaVenture Holdings Limited,72.08,Buy
87.5,3,1,17,XENE,Xenon Pharmaceuticals Inc.,71.64,Buy
87.5,3,1,17,HRTX,"Heron Therapeutics, Inc.  ",70.21,Buy
87.5,3,1,17,HCHC,"HC2 Holdings, Inc.",69.35,Buy
87.5,3,1,17,AQXP,"Aquinox Pharmaceuticals, Inc.",67.9,Buy
87.5,3,1,17,FLGT,"Fulgent Genetics, Inc.",66.67,Buy
87.5,3,1,17,SFE,"Safeguard Scientifics, Inc.",65.99,Buy
87.5,3,1,17,ZYNE,"Zynerba Pharmaceuticals, Inc.",65.78,Buy
87.5,3,1,17,NTEC,Intec Pharma Ltd.,63.64,Buy
87.5,3,1,17,ASMB,"Assembly Biosciences, Inc.",58.4,Buy
87.5,3,1,17,SELB,"Selecta Biosciences, Inc.",56.25,Buy
87.5,3,1,17,AIRG,"Airgain, Inc.",54.75,Buy
87.5,3,1,17,CPRX,"Catalyst Pharmaceuticals, Inc.",52.54,Buy
87.5,3,1,17,CYAD,Celyad SA,51.15,Buy
87.5,1,2,17,CBS.A,CBS Corporation,0,
87.5,2,1,17,OR,Osisko Gold Royalties Ltd,0,
87.35,1,1,3,ALGN,"Align Technology, Inc.",0.08,Buy
87.32,1,1,8,DQ,DAQO New Energy Corp.,33.26,Buy
87.28,1,1,5,JBSS,"John B. Sanfilippo & Son, Inc.",13.06,Buy
87.25,3,1,17,POLA,"Polar Power, Inc.",49.01,Buy
87.24,1,1,8,CVGI,"Commercial Vehicle Group, Inc.",32.85,Buy
87.11,1,1,4,OSUR,"OraSure Technologies, Inc.",5.56,Buy
87.1,2,1,2,WAL,Western Alliance Bancorporation,17.15,Buy
87.08,2,1,5,MITK,"Mitek Systems, Inc.",0,Buy
87.04,1,2,6,MIXT,MiX Telematics Limited,43.54,Buy
86.9,2,1,1,CVGW,"Calavo Growers, Inc.",9.52,Buy
86.86,1,1,6,LCUT,"Lifetime Brands, Inc.",17.65,Buy
86.79,1,1,5,AVGO,Broadcom Limited,10.62,Buy
86.78,2,1,17,TWNK,"Hostess Brands, Inc.",22.1,Buy
86.78,1,1,17,LEXEA,"Liberty Expedia Holdings, Inc.",-2.88,Buy
86.77,3,1,17,XRF,China Rapid Finance Limited,47.06,Buy
86.73,1,2,1,TLK,"PT Telekomunikasi Indonesia, Tbk",8.64,Buy
86.67,1,1,11,AMDA,Amedica Corporation,1096.17,Buy
86.67,1,1,11,CRBP,"Corbus Pharmaceuticals Holdings, Inc.",306.25,Buy
86.67,1,1,11,TTNP,"Titan Pharmaceuticals, Inc.",300,Buy
86.67,1,1,11,NXTD,NXT-ID Inc.,212.5,Buy
86.67,1,1,11,JASN,"Jason Industries, Inc.",140.76,Buy
86.67,1,1,11,CBMG,"Cellular Biomedicine Group, Inc.",92.51,Buy
86.67,1,1,11,ICAD,icad inc.,77.66,Buy
86.67,1,1,11,VCEL,Vericel Corporation,76.47,Buy
86.67,1,1,11,CYRN,CYREN Ltd.,75,Buy
86.67,1,1,11,JYNT,The Joint Corp.,59.38,Buy
86.67,1,1,11,SNOA,"Sonoma Pharmaceuticals, Inc.",50.15,Buy
86.66,1,2,4,CENTA,Central Garden & Pet Company,28.29,Buy
86.65,1,1,5,LBRDA,Liberty Broadband Corporation,9.93,Buy
86.45,3,1,17,PUMP,ProPetro Holding Corp.,45.82,Buy
86.39,2,1,5,SLM,SLM Corporation,33.64,Buy
86.35,1,1,8,RCMT,"RCM Technologies, Inc.",28.44,Buy
86.35,2,1,2,NWL,Newell Brands Inc.,13.42,Buy
86.33,1,1,9,OPY,"Oppenheimer Holdings, Inc.",34.97,Buy
86.26,2,1,17,AZUL,Azul S.A.,20.05,Buy
86.25,1,1,6,TSEM,Tower Semiconductor Ltd.,14.6,Buy
86.24,1,2,3,GGAL,Grupo Financiero Galicia S.A.,19.51,Buy
86.24,1,1,5,PBA,Pembina Pipeline Corp.,7.86,Buy
86.23,1,2,2,LUV,Southwest Airlines Company,12.81,Buy
86.15,1,1,5,SAMG,Silvercrest Asset Management Group Inc.,7.41,Buy
86.12,1,1,8,JAX,"J. Alexander&#39;s Holdings, Inc.",27.27,Buy
86.12,1,1,8,MOD,Modine Manufacturing Company,27.27,Buy
86.09,1,2,2,SHBI,Shore Bancshares Inc,12.12,Buy
85.93,3,1,3,EBIX,"Ebix, Inc.",42.99,Buy
85.88,2,1,1,V,Visa Inc.,4.42,Buy
85.87,1,2,4,MBTF,M B T Financial Corp,24.35,Buy
85.86,2,1,1,TMO,Thermo Fisher Scientific Inc,4.29,Buy
85.83,1,2,1,GBNK,Guaranty Bancorp,4.13,Buy
85.81,1,1,5,BAM,Brookfield Asset Management Inc,5.73,Buy
85.81,1,1,5,ENZ,"Enzo Biochem, Inc.",5.73,Buy
85.72,3,1,17,DZSI,"DASAN Zhone Solutions, Inc.",42.86,Buy
85.71,1,1,7,MOMO,Momo Inc.,18.57,Buy
85.67,1,2,8,JNP,"Juniper Pharmaceuticals, Inc.",144.9,Buy
85.67,1,2,8,EBR,Centrais Electricas Brasileiras S.A.- Eletrobras,140.94,Buy
85.67,1,2,8,EBR.B,Centrais Electricas Brasileiras S.A.- Eletrobras,97.9,Buy
85.67,1,2,8,BELFA,Bel Fuse Inc.,59.09,Buy
85.67,1,2,8,TI.A,Telecom Italia S.P.A.,50.94,Buy
85.67,3,1,17,SGH,"SMART Global Holdings, Inc.",42.68,Buy
85.66,2,1,2,MHK,"Mohawk Industries, Inc.",9.95,Buy
85.64,2,1,1,LCII,LCI Industries ,17.57,
85.62,3,1,17,VSAR,"Versartis, Inc.",42.47,Buy
85.58,1,1,4,ILG,"ILG, Inc",12.31,
85.54,2,1,1,UNH,UnitedHealth Group Incorporated,2.72,Buy
85.53,3,1,17,LMB,"Limbach Holdings, Inc.",42.14,Buy
85.44,1,2,1,SHW,Sherwin-Williams Company (The),2.22,Buy
85.42,1,2,6,FANH,Fanhua Inc.,88.89,Outperform
85.4,2,1,5,NGHC,National General Holdings Corp,28.69,Buy
85.36,2,1,1,NEE,"NextEra Energy, Inc.",1.82,Buy
85.35,1,1,11,ERA,"Era Group, Inc.",43.44,Buy
85.33,1,1,12,PSDV,pSivida Corp.,520.44,Buy
85.33,1,1,12,TROV,"TrovaGene, Inc.",316.67,Buy
85.33,1,1,12,IZEA,IZEA Inc.,268.42,Buy
85.33,1,1,12,ARLZ,Aralez Pharmaceuticals Inc.,267.13,Buy
85.33,1,1,12,AKER,Akers Biosciences Inc,233.33,Buy
85.33,1,1,12,ORMP,Oramed Pharmaceuticals Inc.,192.06,Buy
85.33,1,1,12,BIOL,"Biolase, Inc.",174.42,Buy
85.33,1,1,12,DTRM,"Determine, Inc. ",163.16,Buy
85.33,1,1,12,CASM,"CAS Medical Systems, Inc.",156.41,Buy
85.33,1,1,12,PXS,Pyxis Tankers Inc.,129.23,Buy
85.33,1,1,12,SMMT,Summit Therapeutics plc,112.77,Buy
85.33,1,1,12,WKHS,"Workhorse Group, Inc.",69.49,Buy
85.33,1,1,12,DRRX,DURECT Corporation,60.43,Buy
85.33,1,1,12,VDTH,Videocon d2h Limited,59.17,Buy
85.33,1,1,12,PIRS,"Pieris Pharmaceuticals, Inc.",57.89,Buy
85.32,1,1,6,BABA,Alibaba Group Holding Limited,9.95,Buy
85.31,1,2,17,ORAN,Orange,16.24,Buy
85.3,1,1,6,FSS,Federal Signal Corporation,9.83,Buy
85.25,1,1,6,CYD,China Yuchai International Limited,9.58,Buy
85.16,1,1,7,ELY,Callaway Golf Company,15.78,Buy
85.14,1,1,11,ATRS,"Antares Pharma, Inc.",42.38,Buy
85.09,1,2,3,DLX,Deluxe Corporation,13.8,Buy
85.06,2,1,2,ITRN,Ituran Location and Control Ltd.,6.97,Buy
85.04,1,1,12,STKS,"The ONE Group Hospitality, Inc.",48.51,Buy
85,2,1,4,KMG,"KMG Chemicals, Inc.",20.02,Buy
85,1,2,4,WSO.B,"Watsco, Inc.",0,
84.98,1,1,9,BV,"Bazaarvoice, Inc.",28.21,Buy
84.79,1,2,2,FMS,Fresenius Medical Care Corporation,5.63,Buy
84.7,2,1,5,MIC,Macquarie Infrastructure Company,25.18,Buy
84.67,3,1,5,MEET,"The Meet Group, Inc.",73.81,Buy
84.67,3,1,5,UFI,"Unifi, Inc.",58.84,Buy
84.48,2,1,5,TJX,"TJX Companies, Inc. (The)",24.06,Buy
84.46,1,2,2,IPGP,IPG Photonics Corporation,3.98,Buy
84.43,3,1,17,JAG,Jagged Peak Energy Inc.,37.72,Buy
84.42,2,1,2,COHR,"Coherent, Inc.",3.76,Buy
84.41,3,1,5,PLPM,"Planet Payment, Inc.",48.73,Buy
84.35,1,2,5,UVE,UNIVERSAL INSURANCE HOLDINGS INC,23.4,Buy
84.33,1,2,9,OIIM,O2Micro International Limited,129.73,Buy
84.33,1,2,9,TRQ,Turquoise Hill Resources Ltd.,58.85,Buy
84.32,1,1,6,TRP,TransCanada Corporation,4.94,Buy
84.32,1,2,2,ETFC,E*TRADE Financial Corporation,3.29,Buy
84.28,1,1,5,REX,REX American Resources Corporation,-1.95,Buy
84.2,2,1,5,SABR,Sabre Corporation,22.67,Buy
84.19,1,2,5,CIEN,Ciena Corporation,22.61,Buy
84.14,1,2,17,CRH,CRH PLC,11.55,Buy
84.13,1,1,7,CTRP,"Ctrip.com International, Ltd.",10.64,Buy
84,1,1,13,SLNO,"Soleno Therapeutics, Inc.",843.4,Buy
84,1,1,13,ONTX,"Onconova Therapeutics, Inc.",290.24,Buy
84,1,1,13,APDN,Applied DNA Sciences Inc,275,Buy
84,1,1,13,SNGX,"Soligenix, Inc.",105.28,Buy
84,1,1,13,DRIO,DarioHealth Corp.,84.5,Buy
84,1,1,13,VRML,"Vermillion, Inc.",57.23,Buy
84,3,1,17,YTRA,"Yatra Online, Inc.",35.99,Buy
83.98,1,1,5,LAKE,"Lakeland Industries, Inc.",-3.43,Buy
83.96,1,2,5,ALSN,"Allison Transmission Holdings, Inc.",21.49,Buy
83.95,3,1,17,ELVT,"Elevate Credit, Inc.",35.8,Buy
83.91,2,1,3,EEFT,"Euronet Worldwide, Inc.",7.89,Buy
83.91,1,2,2,MLVF,"Malvern Bancorp, Inc.",1.21,Buy
83.88,1,1,5,TAL,TAL Education Group,-3.93,Buy
83.85,2,1,17,INVH,Invitation Homes Inc.,10.4,Buy
83.81,3,1,17,TRHC,"Tabula Rasa HealthCare, Inc.",35.24,Buy
83.66,2,1,17,PLNT,"Planet Fitness, Inc.",9.65,Buy
83.66,1,2,17,JHX,James Hardie Industries plc.,9.63,Buy
83.65,1,1,8,FNJN,"Finjan Holdings, Inc.",14.94,Buy
83.61,2,2,1,HBNC,Horizon Bancorp (IN),18.05,Buy
83.58,3,1,3,SIMO,Silicon Motion Technology Corporation,31.24,Buy
83.55,1,1,12,CBMX,CombiMatrix Corporation,41.07,Buy
83.55,1,2,8,BELFB,Bel Fuse Inc.,39.44,Buy
83.55,1,1,8,YUME,"YuMe, Inc.",14.42,Buy
83.54,3,1,17,ACRS,"Aclaris Therapeutics, Inc.",34.16,Buy
83.52,1,2,3,A,"Agilent Technologies, Inc.",5.91,Buy
83.4,1,2,3,PGC,Peapack-Gladstone Financial Corporation,5.33,Buy
83.37,1,2,2,NCBS,Nicolet Bankshares Inc.,-1.5,Buy
83.33,3,1,17,SVRA,"Savara, Inc.",202.52,
83.33,3,1,6,PCMI,"PCM, Inc.",75.85,Buy
83.31,1,2,3,MFC,Manulife Financial Corp,4.86,Buy
83.28,1,2,4,SNX,Synnex Corporation,11.42,Buy
83.28,1,2,17,HONE,"HarborOne Bancorp, Inc.",8.14,Buy
83.26,1,1,7,CARO,Carolina Financial Corporation,6.29,Buy
83.22,3,1,17,INSM,"Insmed, Inc.",32.87,Buy
83.2,3,1,17,SSTI,"ShotSpotter, Inc.",32.81,Buy
83.19,2,1,4,NVEE,"NV5 Global, Inc.",10.97,Buy
83.16,1,1,10,BBOX,Black Box Corporation,25.79,Buy
83.16,2,1,4,DOOR,Masonite International Corporation,10.82,Buy
83.15,3,1,17,MGEN,"Miragen Therapeutics, Inc.",32.59,Buy
83.14,1,1,10,BLBD,Blue Bird Corporation,25.71,Buy
83.09,1,2,3,DHI,"D.R. Horton, Inc.",3.8,Buy
83.05,1,2,9,KW,Kennedy-Wilson Holdings Inc.,43.56,Buy
83.05,1,1,10,AGYS,"Agilysys, Inc.",25.24,Buy
83.05,1,2,5,MRVL,Marvell Technology Group Ltd.,16.92,Buy
83.04,1,2,7,FOX,"Twenty-First Century Fox, Inc.",30.2,Buy
83,2,1,10,OPK,"Opko Health, Inc.",82.09,Buy
83,1,2,10,QTRH,Quarterhill Inc.,60.42,Buy
83,1,2,10,GLDD,Great Lakes Dredge & Dock Corporation,58.54,Buy
82.98,3,1,17,INNL,Innocoll Holdings,48.94,
82.92,2,1,5,CWCO,Consolidated Water Co. Ltd.,16.28,Buy
82.81,2,1,3,EDU,"New Oriental Education & Technology Group, Inc.",2.39,Buy
82.8,1,2,5,KRNY,Kearny Financial,15.65,Buy
82.78,3,1,5,SBGI,"Sinclair Broadcast Group, Inc.",40.58,Buy
82.78,1,2,5,BRK.A,Berkshire Hathaway Inc.,0,
82.78,1,2,5,GEF.B,Greif Bros. Corporation,0,
82.78,1,2,5,LEN.B,Lennar Corporation,0,
82.75,3,1,17,CJ,C,30.99,Buy
82.72,2,1,17,IBN,ICICI Bank Limited,5.87,Buy
82.65,1,2,5,FISI,"Financial Institutions, Inc.",14.94,Buy
82.63,1,1,11,PAM,Pampa Energia S.A.,29.8,Buy
82.6,2,2,2,TSC,"TriState Capital Holdings, Inc.",19.66,Buy
82.57,1,1,13,XGTI,"XG Technology, Inc",42.86,Buy
82.56,2,1,7,BURL,"Burlington Stores, Inc.",27.79,Buy
82.55,1,2,6,TLYS,"Tilly&#39;s, Inc.",21.09,Buy
82.53,2,2,2,HD,"Home Depot, Inc. (The)",19.33,Buy
82.48,1,2,5,WASH,"Washington Trust Bancorp, Inc.",14.09,Buy
82.43,2,2,1,AMAT,"Applied Materials, Inc.",12.16,Buy
82.43,1,2,4,RHT,"Red Hat, Inc.",7.14,Buy
82.4,2,2,17,KIN,"Kindred Biosciences, Inc.",29.61,Buy
82.35,2,1,6,FNGN,"Financial Engines, Inc.",20.1,Buy
82.31,2,2,17,YRCW,"YRC Worldwide, Inc.",29.24,Buy
82.29,3,1,1,KAI,Kadant Inc,11.47,Buy
82.27,2,1,5,ACLS,"Axcelis Technologies, Inc.",13.04,Buy
82.26,3,1,4,CBPO,"China Biologic Products, Inc.",31.32,Buy
82.26,1,1,11,LXU,Lsb Industries Inc.,27.97,Buy
82.26,1,1,8,VRTU,Virtusa Corporation,7.95,Buy
82.25,3,1,17,QTNA,"Quantenna Communications, Inc.",28.98,Buy
82.23,1,2,6,MLCO,Melco Resorts & Entertainment Limited,19.49,Buy
82.17,1,1,10,ALSK,"Alaska Communications Systems Group, Inc.",20.83,Buy
82.12,3,1,1,FDX,FedEx Corporation,10.58,Buy
